===========================================================================
接口列表
 11...........................Wintun Userspace Tunnel
 39...........................XyNetTunnel Tunnel
  7...04 d9 f5 1f 99 4a ......Realtek PCIe GbE Family Controller
 16...00 1a 7d da 71 11 ......Bluetooth Device (Personal Area Network)
  1...........................Software Loopback Interface 1
===========================================================================

IPv4 路由表
===========================================================================
活动路由:
网络目标        网络掩码          网关       接口   跃点数
          0.0.0.0          0.0.0.0         10.0.0.1       10.0.0.226     25
          1.0.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
          1.0.0.1  255.255.255.255         10.4.4.1         10.4.4.2     10
          1.1.1.1  255.255.255.255         10.4.4.1         10.4.4.2     10
          1.2.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
          1.2.4.8  255.255.255.255         10.4.4.1         10.4.4.2     10
          1.4.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
          1.9.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
         1.10.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
         1.16.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
         1.32.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
         1.40.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
         1.44.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
         1.46.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
         1.52.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
         1.64.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
         1.72.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
         1.96.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        1.112.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        1.120.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        1.128.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
        1.160.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        1.176.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        1.186.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        1.200.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        1.208.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        1.224.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
          2.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
        3.5.19.21  255.255.255.255         10.4.4.1         10.4.4.2     10
        3.5.25.37  255.255.255.255         10.4.4.1         10.4.4.2     10
        3.5.31.37  255.255.255.255         10.4.4.1         10.4.4.2     10
      3.5.134.207  255.255.255.255         10.4.4.1         10.4.4.2     10
        3.5.136.7  255.255.255.255         10.4.4.1         10.4.4.2     10
        3.5.137.7  255.255.255.255         10.4.4.1         10.4.4.2     10
       3.5.139.49  255.255.255.255         10.4.4.1         10.4.4.2     10
       3.5.139.51  255.255.255.255         10.4.4.1         10.4.4.2     10
       3.5.139.94  255.255.255.255         10.4.4.1         10.4.4.2     10
      3.33.187.54  255.255.255.255         10.4.4.1         10.4.4.2     10
      3.89.174.85  255.255.255.255         10.4.4.1         10.4.4.2     10
      3.90.98.230  255.255.255.255         10.4.4.1         10.4.4.2     10
      3.92.140.93  255.255.255.255         10.4.4.1         10.4.4.2     10
      3.95.119.86  255.255.255.255         10.4.4.1         10.4.4.2     10
      3.175.207.2  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.16  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.20  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.21  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.23  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.27  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.28  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.31  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.34  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.37  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.40  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.50  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.54  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.57  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.63  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.76  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.86  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.88  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.92  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.207.96  255.255.255.255         10.4.4.1         10.4.4.2     10
    3.175.207.100  255.255.255.255         10.4.4.1         10.4.4.2     10
    3.175.207.101  255.255.255.255         10.4.4.1         10.4.4.2     10
    3.175.207.108  255.255.255.255         10.4.4.1         10.4.4.2     10
    3.175.207.123  255.255.255.255         10.4.4.1         10.4.4.2     10
    3.175.207.126  255.255.255.255         10.4.4.1         10.4.4.2     10
    3.175.207.127  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.208.14  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.209.43  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.214.28  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.175.214.98  255.255.255.255         10.4.4.1         10.4.4.2     10
    3.175.214.113  255.255.255.255         10.4.4.1         10.4.4.2     10
    3.175.214.157  255.255.255.255         10.4.4.1         10.4.4.2     10
    3.209.254.131  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.210.214.59  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.211.63.127  255.255.255.255         10.4.4.1         10.4.4.2     10
    3.215.189.167  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.218.55.197  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.218.73.254  255.255.255.255         10.4.4.1         10.4.4.2     10
      3.224.65.40  255.255.255.255         10.4.4.1         10.4.4.2     10
    3.228.193.183  255.255.255.255         10.4.4.1         10.4.4.2     10
      3.232.98.82  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.233.166.47  255.255.255.255         10.4.4.1         10.4.4.2     10
      3.234.50.57  255.255.255.255         10.4.4.1         10.4.4.2     10
     3.234.72.239  255.255.255.255         10.4.4.1         10.4.4.2     10
          4.0.0.0        252.0.0.0         10.4.4.1         10.4.4.2     10
          8.0.0.0        254.0.0.0         10.4.4.1         10.4.4.2     10
          8.8.4.4  255.255.255.255         10.4.4.1         10.4.4.2     10
          8.8.8.8  255.255.255.255         10.4.4.1         10.4.4.2     10
          9.9.9.9  255.255.255.255         10.4.4.1         10.4.4.2     10
         10.0.0.0        255.0.0.0            在链路上        10.0.0.226    281
         10.0.0.1  255.255.255.255         10.4.4.1         10.4.4.2     10
